date,price,symbol
2017-01-13,10000000,finhay_Rua
2017-01-14,10000000,finhay_Rua
2017-01-15,10000000,finhay_Rua
2017-01-16,10000000,finhay_Rua
2017-01-17,10000000,finhay_Rua
2017-01-18,10000000,finhay_Rua
2017-01-19,10000000,finhay_Rua
2017-01-20,10006548.3505066,finhay_Rua
2017-01-21,10006548.3505066,finhay_Rua
2017-01-22,10006548.3505066,finhay_Rua
2017-01-23,10006548.3505066,finhay_Rua
2017-01-24,10006548.3505066,finhay_Rua
2017-01-25,10006548.3505066,finhay_Rua
2017-01-26,10006548.3505066,finhay_Rua
2017-01-27,10029800.5701105,finhay_Rua
2017-01-28,10029800.5701105,finhay_Rua
2017-01-29,10029800.5701105,finhay_Rua
2017-01-30,10029800.5701105,finhay_Rua
2017-01-31,10029800.5701105,finhay_Rua
2017-02-01,10029800.5701105,finhay_Rua
2017-02-02,10029800.5701105,finhay_Rua
2017-02-03,10084729.0576745,finhay_Rua
2017-02-04,10084729.0576745,finhay_Rua
2017-02-05,10084729.0576745,finhay_Rua
2017-02-06,10084729.0576745,finhay_Rua
2017-02-07,10084729.0576745,finhay_Rua
2017-02-08,10084729.0576745,finhay_Rua
2017-02-09,10084729.0576745,finhay_Rua
2017-02-10,10146444.5756011,finhay_Rua
2017-02-11,10146444.5756011,finhay_Rua
2017-02-12,10146444.5756011,finhay_Rua
2017-02-13,10146444.5756011,finhay_Rua
2017-02-14,10146444.5756011,finhay_Rua
2017-02-15,10146444.5756011,finhay_Rua
2017-02-16,10146444.5756011,finhay_Rua
2017-02-17,10200853.5895605,finhay_Rua
2017-02-18,10200853.5895605,finhay_Rua
2017-02-19,10200853.5895605,finhay_Rua
2017-02-20,10200853.5895605,finhay_Rua
2017-02-21,10200853.5895605,finhay_Rua
2017-02-22,10200853.5895605,finhay_Rua
2017-02-23,10200853.5895605,finhay_Rua
2017-02-24,10213714.164095,finhay_Rua
2017-02-25,10213714.164095,finhay_Rua
2017-02-26,10213714.164095,finhay_Rua
2017-02-27,10213714.164095,finhay_Rua
2017-02-28,10213714.164095,finhay_Rua
2017-03-01,10212774.0522677,finhay_Rua
2017-03-02,10212774.0522677,finhay_Rua
2017-03-03,10212774.0522677,finhay_Rua
2017-03-04,10212774.0522677,finhay_Rua
2017-03-05,10212774.0522677,finhay_Rua
2017-03-06,10212774.0522677,finhay_Rua
2017-03-07,10212774.0522677,finhay_Rua
2017-03-08,10263002.0355974,finhay_Rua
2017-03-09,10263002.0355974,finhay_Rua
2017-03-10,10263002.0355974,finhay_Rua
2017-03-11,10263002.0355974,finhay_Rua
2017-03-12,10263002.0355974,finhay_Rua
2017-03-13,10263002.0355974,finhay_Rua
2017-03-14,10263002.0355974,finhay_Rua
2017-03-15,10261332.2829453,finhay_Rua
2017-03-16,10261332.2829453,finhay_Rua
2017-03-17,10261332.2829453,finhay_Rua
2017-03-18,10261332.2829453,finhay_Rua
2017-03-19,10261332.2829453,finhay_Rua
2017-03-20,10261332.2829453,finhay_Rua
2017-03-21,10261332.2829453,finhay_Rua
2017-03-22,10311352.5734984,finhay_Rua
2017-03-23,10311352.5734984,finhay_Rua
2017-03-24,10311352.5734984,finhay_Rua
2017-03-25,10311352.5734984,finhay_Rua
2017-03-26,10311352.5734984,finhay_Rua
2017-03-27,10311352.5734984,finhay_Rua
2017-03-28,10311352.5734984,finhay_Rua
2017-03-29,10343263.4246969,finhay_Rua
2017-03-30,10343263.4246969,finhay_Rua
2017-03-31,10343263.4246969,finhay_Rua
2017-04-01,10343263.4246969,finhay_Rua
2017-04-02,10343263.4246969,finhay_Rua
2017-04-03,10343263.4246969,finhay_Rua
2017-04-04,10343263.4246969,finhay_Rua
2017-04-05,10378873.6227798,finhay_Rua
2017-04-06,10378873.6227798,finhay_Rua
2017-04-07,10378873.6227798,finhay_Rua
2017-04-08,10378873.6227798,finhay_Rua
2017-04-09,10378873.6227798,finhay_Rua
2017-04-10,10378873.6227798,finhay_Rua
2017-04-11,10378873.6227798,finhay_Rua
2017-04-12,10384190.6969718,finhay_Rua
2017-04-13,10384190.6969718,finhay_Rua
2017-04-14,10384190.6969718,finhay_Rua
2017-04-15,10384190.6969718,finhay_Rua
2017-04-16,10384190.6969718,finhay_Rua
2017-04-17,10384190.6969718,finhay_Rua
2017-04-18,10384190.6969718,finhay_Rua
2017-04-19,10377348.3854326,finhay_Rua
2017-04-20,10377348.3854326,finhay_Rua
2017-04-21,10377348.3854326,finhay_Rua
2017-04-22,10377348.3854326,finhay_Rua
2017-04-23,10377348.3854326,finhay_Rua
2017-04-24,10377348.3854326,finhay_Rua
2017-04-25,10377348.3854326,finhay_Rua
2017-04-26,10380298.4813227,finhay_Rua
2017-04-27,10380298.4813227,finhay_Rua
2017-04-28,10380298.4813227,finhay_Rua
2017-04-29,10380298.4813227,finhay_Rua
2017-04-30,10380298.4813227,finhay_Rua
2017-05-01,10380298.4813227,finhay_Rua
2017-05-02,10380298.4813227,finhay_Rua
2017-05-03,10450301.9362409,finhay_Rua
2017-05-04,10450301.9362409,finhay_Rua
2017-05-05,10450301.9362409,finhay_Rua
2017-05-06,10450301.9362409,finhay_Rua
2017-05-07,10450301.9362409,finhay_Rua
2017-05-08,10450301.9362409,finhay_Rua
2017-05-09,10450301.9362409,finhay_Rua
2017-05-10,10520169.5871307,finhay_Rua
2017-05-11,10520169.5871307,finhay_Rua
2017-05-12,10520169.5871307,finhay_Rua
2017-05-13,10520169.5871307,finhay_Rua
2017-05-14,10520169.5871307,finhay_Rua
2017-05-15,10520169.5871307,finhay_Rua
2017-05-16,10520169.5871307,finhay_Rua
2017-05-17,10551044.7220366,finhay_Rua
2017-05-18,10551044.7220366,finhay_Rua
2017-05-19,10551044.7220366,finhay_Rua
2017-05-20,10551044.7220366,finhay_Rua
2017-05-21,10551044.7220366,finhay_Rua
2017-05-22,10551044.7220366,finhay_Rua
2017-05-23,10551044.7220366,finhay_Rua
2017-05-24,10653570.0152671,finhay_Rua
2017-05-25,10653570.0152671,finhay_Rua
2017-05-26,10653570.0152671,finhay_Rua
2017-05-27,10653570.0152671,finhay_Rua
2017-05-28,10653570.0152671,finhay_Rua
2017-05-29,10653570.0152671,finhay_Rua
2017-05-30,10653570.0152671,finhay_Rua
2017-05-31,10700780.6102916,finhay_Rua
2017-06-01,10700780.6102916,finhay_Rua
2017-06-02,10700780.6102916,finhay_Rua
2017-06-03,10700780.6102916,finhay_Rua
2017-06-04,10700780.6102916,finhay_Rua
2017-06-05,10700780.6102916,finhay_Rua
2017-06-06,10700780.6102916,finhay_Rua
2017-06-07,10792254.0922926,finhay_Rua
2017-06-08,10792254.0922926,finhay_Rua
2017-06-09,10792254.0922926,finhay_Rua
2017-06-10,10792254.0922926,finhay_Rua
2017-06-11,10792254.0922926,finhay_Rua
2017-06-12,10792254.0922926,finhay_Rua
2017-06-13,10792254.0922926,finhay_Rua
2017-06-14,10819297.2501093,finhay_Rua
2017-06-15,10819297.2501093,finhay_Rua
2017-06-16,10819297.2501093,finhay_Rua
2017-06-17,10819297.2501093,finhay_Rua
2017-06-18,10819297.2501093,finhay_Rua
2017-06-19,10819297.2501093,finhay_Rua
2017-06-20,10819297.2501093,finhay_Rua
2017-06-21,10929621.3999078,finhay_Rua
2017-06-22,10929621.3999078,finhay_Rua
2017-06-23,10929621.3999078,finhay_Rua
2017-06-24,10929621.3999078,finhay_Rua
2017-06-25,10929621.3999078,finhay_Rua
2017-06-26,10929621.3999078,finhay_Rua
2017-06-27,10929621.3999078,finhay_Rua
2017-06-28,10955194.5689956,finhay_Rua
2017-06-29,10955194.5689956,finhay_Rua
2017-06-30,10955194.5689956,finhay_Rua
2017-07-01,10955194.5689956,finhay_Rua
2017-07-02,10955194.5689956,finhay_Rua
2017-07-03,10955194.5689956,finhay_Rua
2017-07-04,10955194.5689956,finhay_Rua
2017-07-05,10998124.3209261,finhay_Rua
2017-07-06,10998124.3209261,finhay_Rua
2017-07-07,10998124.3209261,finhay_Rua
2017-07-08,10998124.3209261,finhay_Rua
2017-07-09,10998124.3209261,finhay_Rua
2017-07-10,10998124.3209261,finhay_Rua
2017-07-11,10998124.3209261,finhay_Rua
2017-07-12,11029212.8627825,finhay_Rua
2017-07-13,11029212.8627825,finhay_Rua
2017-07-14,11029212.8627825,finhay_Rua
